version,date,DesignSize,Hierarchies,Abstraction,Encapsulation,Coupling,Cohesion,Composition,Inheritance,Polymorphism,Messaging,Complexity
1.0.6,2007-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0.9,2008-01,1.0493273542600896,1.0357142857142858,1.0004347504347504,0.9848775837567879,0.9959673922469864,0.9637387292537369,0.9816220975019259,0.9954316841221135,1.052443542695836,1.0375853525892804,1.0361851658244758
1.0.11,2008-09,1.0896860986547086,1.0714285714285714,0.9931769191028449,0.9838109302765401,1.0315021272054967,0.9400827914829584,1.020099259965736,0.9886140195940831,1.0797655453618755,1.072867469022658,1.0736029634792486
1.0.13,2009-04,1.1300448430493273,1.1071428571428572,0.9768604411461553,0.98389510583849,1.0235947817684006,0.9435302436129543,1.0178486272906875,0.9777495722676708,1.091943352264453,1.0809517575032108,1.0839853743669738
1.0.14,2011-11,1.1434977578475336,1.0714285714285714,0.995654019183431,0.985266233060002,1.0312708623471936,0.9272456243780408,1.0321467642851132,0.9870889428076518,1.1182092102896202,1.0943394482694886,1.0994229369740578
1.0.16,2013-09,1.15695067264574,1.1071428571428572,0.995301855766972,0.9855837562280951,1.03097279393129,0.9248008208773458,1.027564294507103,0.9874698779724521,1.129987198634521,1.0941756943556393,1.1045613381041723
1.0.19,2014-07,1.2152466367713004,1.1428571428571428,0.9618057219533234,0.9839188819982775,1.0214080382066504,0.94092070876054,1.1160065248721158,0.9735300439229003,1.0984291953011274,1.0772400379149119,1.0901451774580475
1.5.0,2017-11,1.2242152466367713,1.1071428571428572,0.876964305535734,0.9680042835418053,1.0949655380320542,0.9422849680639629,1.493467905485073,0.8978864817401134,1.0678999899183386,1.0196185066569985,1.0316305057549178
1.5.2,2020-12,1.2264573991031391,1.1071428571428572,0.882420443663588,0.9663702172671274,1.0984791493624133,0.9401168604478739,1.4942370008866155,0.9016730821634775,1.0687528302836153,1.0203164874176218,1.032443912255
1.5.4,2023-01,1.257847533632287,1.1071428571428572,0.8844904352925743,0.9656837274161562,1.1015399702978454,0.9330167591970244,1.5524852157015754,0.9046139723398737,1.1952484913898838,1.0348230701264296,1.04505092125399
1.5.5,2024-06,1.2645739910313902,1.1071428571428572,0.8849206349206348,0.9640987500231532,1.1019213701456019,0.931900562548388,1.5442273156180564,0.9042011636159271,1.1916113605309389,1.0308716774470315,1.0419723702080699
1.5.6,2025-05,1.2645739910313902,1.1071428571428572,0.8849206349206348,0.9640987500231532,1.1037044144338632,0.9316972095804059,1.554409034182571,0.9051372048592454,1.1916113605309389,1.033356454012134,1.044177019497058
