version,date,Reusability,Flexibility,Understandability,Functionality,Extendibility,Effectiveness
1.0.6,2007-06,1.0,1.0,-0.99,0.9999999999999999,1.0,1.0
1.0.9,2008-01,1.0353991876763726,1.0142603679763313,-1.0512948245090326,1.0341641652675366,1.0261712925028568,1.0029619317022829
1.0.11,2008-09,1.0584219499080487,1.0380096034315667,-1.103467177574743,1.061834425560874,1.0150271784266534,1.013093334860216
1.0.13,2009-04,1.0854821657374076,1.0449710707950928,-1.115071136237476,1.0834418474247212,1.0114792919549394,1.0096594197614914
1.0.14,2011-11,1.092912293566223,1.0636768299655688,-1.1469291666372516,1.0853139722491119,1.0348406549667546,1.0236730339251636
1.0.16,2013-09,1.0990201902372037,1.0674284871450133,-1.157438463052494,1.098392511516608,1.0408930692213274,1.0251813966218288
1.0.19,2014-07,1.1261215049815787,1.0978455710345285,-1.1425244090474385,1.110340547877051,1.0061784614853504,1.0267380736095488
1.5.0,2017-11,1.0837467341548621,1.2489436340791435,-1.1171774903097758,1.085227048245768,0.8738926195810659,1.0608445932442128
1.5.2,2020-12,1.0837963710317458,1.248467682561294,-1.122681996794409,1.0858013295221363,0.8771836033741338,1.0626907148528848
1.5.4,2023-01,1.104204499104153,1.339902792825307,-1.183207365533622,1.1228756406077636,0.9414064643622432,1.1005043684280127
1.5.5,2024-06,1.1052176323399074,1.3334636830438855,-1.1843701367074813,1.1225520424592945,0.9394058944609494,1.097811844941742
1.5.6,2025-05,1.1059634213083978,1.3381087812540775,-1.1857531820674077,1.1230742909474591,0.938982392938478,1.1000353969033088
